items,hedge,keys,size,p
1,3,3,3,0.995833
2,7.5,5,15,0.995833
3,6,6,18,0.995833
4,5.25,7,21,0.995833
5,4.8,6,24,0.995833
6,4,6,24,0.995833
7,3.857143,9,27,0.995833
8,3.5,7,28,0.995833
9,3.111111,7,28,0.995833
10,3,6,30,0.995833
11,3.181818,5,35,0.995833
12,2.916667,5,35,0.995833
13,2.769231,6,36,0.995833
14,2.571429,6,36,0.995833
15,2.666667,5,40,0.995833
16,2.5,5,40,0.995833
17,2.470588,6,42,0.995833
18,2.333333,6,42,0.995833
19,2.368421,5,45,0.995833
20,2.25,5,45,0.995833
21,2.285714,6,48,0.995833
22,2.272727,5,50,0.995833
23,2.173913,5,50,0.995833
24,2.083333,5,50,0.995833
25,2.2,5,55,0.995833
26,2.115385,5,55,0.995833
27,2.037037,5,55,0.995833
28,2.142857,5,60,0.995833
29,2.068966,5,60,0.995833
30,2,5,60,0.995833
31,2.096774,5,65,0.995833
32,2.03125,5,65,0.995833
33,1.969697,5,65,0.995833
34,1.911765,5,65,0.995833
35,2,5,70,0.995833
36,1.944444,5,70,0.995833
37,1.891892,5,70,0.995833
38,1.973684,5,75,0.995833
39,1.923077,5,75,0.995833
40,1.875,5,75,0.995833
41,1.95122,5,80,0.995833
42,1.904762,5,80,0.995833
43,1.860465,5,80,0.995833
44,1.818182,5,80,0.995833
45,1.888889,5,85,0.995833
46,1.847826,5,85,0.995833
47,1.808511,5,85,0.995833
48,1.875,5,90,0.995833
49,1.836735,5,90,0.995833
50,1.8,5,90,0.995833
51,1.862745,5,95,0.995833
52,1.826923,5,95,0.995833
53,1.792453,5,95,0.995833
54,1.851852,4,100,0.995833
55,1.818182,4,100,0.995833
56,1.785714,4,100,0.995833
57,1.754386,5,100,0.995833
58,1.724138,4,100,0.995833
59,1.762712,4,104,0.995833
60,1.733333,4,104,0.995833
61,1.770492,4,108,0.995833
62,1.774194,5,110,0.995833
63,1.714286,4,108,0.995833
64,1.6875,4,108,0.995833
65,1.723077,4,112,0.995833
66,1.69697,4,112,0.995833
67,1.671642,4,112,0.995833
68,1.705882,4,116,0.995833
69,1.681159,4,116,0.995833
70,1.714286,4,120,0.995833
71,1.690141,4,120,0.995833
72,1.666667,4,120,0.995833
73,1.643836,4,120,0.995833
74,1.621622,4,120,0.995833
75,1.653333,4,124,0.995833
76,1.631579,4,124,0.995833
77,1.61039,4,124,0.995833
78,1.641026,4,128,0.995833
79,1.620253,4,128,0.995833
80,1.6,4,128,0.995833
81,1.580247,4,128,0.995833
82,1.609756,4,132,0.995833
83,1.590361,4,132,0.995833
84,1.619048,4,136,0.995833
85,1.6,4,136,0.995833
86,1.627907,4,140,0.995833
87,1.609195,4,140,0.995833
88,1.590909,4,140,0.995833
89,1.617978,4,144,0.995833
90,1.6,4,144,0.995833
91,1.582418,4,144,0.995833
92,1.565217,4,144,0.995833
93,1.591398,4,148,0.995833
94,1.574468,4,148,0.995833
95,1.557895,4,148,0.995833
96,1.583333,4,152,0.995833
97,1.56701,4,152,0.995833
98,1.55102,4,152,0.995833
99,1.575758,4,156,0.995833
100,1.56,4,156,0.995833
101,1.544554,4,156,0.995833
102,1.568627,4,160,0.995833
103,1.553398,4,160,0.995833
104,1.538462,4,160,0.995833
105,1.561905,4,164,0.995833
106,1.54717,4,164,0.995833
107,1.53271,4,164,0.995833
108,1.555556,4,168,0.995833
109,1.541284,4,168,0.995833
110,1.527273,4,168,0.995833
111,1.54955,4,172,0.995833
112,1.535714,4,172,0.995833
113,1.522124,4,172,0.995833
114,1.54386,4,176,0.995833
115,1.530435,4,176,0.995833
116,1.551724,4,180,0.995833
117,1.538462,4,180,0.995833
118,1.525424,4,180,0.995833
119,1.512605,4,180,0.995833
120,1.533333,4,184,0.995833
121,1.520661,4,184,0.995833
122,1.508197,4,184,0.995833
123,1.528455,4,188,0.995833
124,1.516129,4,188,0.995833
125,1.536,4,192,0.995833
126,1.52381,4,192,0.995833
127,1.511811,4,192,0.995833
128,1.53125,4,196,0.995833
129,1.51938,4,196,0.995833
130,1.507692,4,196,0.995833
131,1.526718,4,200,0.995833
132,1.515152,4,200,0.995833
133,1.503759,4,200,0.995833
134,1.522388,4,204,0.995833
135,1.511111,4,204,0.995833
136,1.5,4,204,0.995833
137,1.518248,4,208,0.995833
138,1.507246,4,208,0.995833
139,1.496403,4,208,0.995833
140,1.485714,4,208,0.995833
141,1.503546,4,212,0.995833
142,1.492958,4,212,0.995833
143,1.51049,4,216,0.995833
144,1.5,4,216,0.995833
145,1.489655,4,216,0.995833
146,1.506849,4,220,0.995833
147,1.496599,4,220,0.995833
148,1.486486,4,220,0.995833
149,1.503356,4,224,0.995833
150,1.493333,4,224,0.995833
151,1.483444,4,224,0.995833
152,1.5,4,228,0.995833
153,1.490196,4,228,0.995833
154,1.480519,4,228,0.995833
155,1.496774,4,232,0.995833
156,1.487179,4,232,0.995833
157,1.477707,4,232,0.995833
158,1.493671,4,236,0.995833
159,1.484277,4,236,0.995833
160,1.475,4,236,0.995833
161,1.490683,4,240,0.995833
162,1.481481,4,240,0.995833
163,1.472393,4,240,0.995833
164,1.487805,4,244,0.995833
165,1.478788,4,244,0.995833
166,1.46988,4,244,0.995833
167,1.48503,4,248,0.995833
168,1.47619,4,248,0.995833
169,1.467456,4,248,0.995833
170,1.482353,4,252,0.995833
171,1.473684,4,252,0.995833
172,1.488372,4,256,0.995833
173,1.479769,4,256,0.995833
174,1.471264,4,256,0.995833
175,1.485714,4,260,0.995833
176,1.477273,4,260,0.995833
177,1.468927,4,260,0.995833
178,1.460674,4,260,0.995833
179,1.47486,4,264,0.995833
180,1.466667,4,264,0.995833
181,1.480663,4,268,0.995833
182,1.472527,4,268,0.995833
183,1.486339,4,272,0.995833
184,1.478261,4,272,0.995833
185,1.47027,4,272,0.995833
186,1.462366,4,272,0.995833
187,1.475936,4,276,0.995833
188,1.468085,4,276,0.995833
189,1.460317,4,276,0.995833
190,1.473684,4,280,0.995833
191,1.465969,4,280,0.995833
192,1.458333,4,280,0.995833
193,1.471503,4,284,0.995833
194,1.463918,4,284,0.995833
195,1.45641,4,284,0.995833
196,1.44898,4,284,0.995833
